"","fat","protein.num","sugar.num","energy.num","mass.female","gestation.month","lacatation.months","mass.litter","repro.output","dev.stage.at.birth","diet","arid","biome","Australia","order","family","spp","fat.log10","fat.logit","mass.log10","lemurs"
"1",7,6.3,5.2,1.21,8e+05,9.02,4.5,26949,0.03,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Bos frontalis",0.845098040014257,-2.58668934409794,5.90308998699194,"not.a.lemur"
"2",12.4,5.7,NA,NA,53000,5.6,7.5,3489,0.07,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Capra ibex",1.09342168516224,-1.95508452533135,4.72427586960079,"not.a.lemur"
"3",7.5,4.1,5.3,1.13,170500,8.32,8,17717,0.1,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Connocheates taurinus taurinus",0.8750612633917,-2.51230562397611,5.23172438332852,"not.a.lemur"
"4",5.5,4.3,4.1,0.91,2e+05,8.5,7.5,11110,0.06,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Connocheates gnou",0.740362689494244,-2.84385174226127,5.30102999566398,"not.a.lemur"
"5",8.6,5.6,4.9,1.31,61000,8,4,6500,0.11,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Damaliscus pygargus phillipsi",0.934498451243568,-2.36348327520064,4.78532983501077,"not.a.lemur"
"6",8.8,8.8,NA,NA,20600,4.74,2.8,1771,0.09,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Gazella dorcas",0.944482672150169,-2.33830317559612,4.31386722036915,"not.a.lemur"
"7",7.9,5.4,3.1,1.16,60000,6,5,2060,0.03,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Hemitragus jemlahicus",0.897627091290441,-2.45601218378829,4.77815125038364,"not.a.lemur"
"8",5,6.2,NA,1.03,181000,8.87,7,15447,0.09,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Hippotragus niger",0.698970004336019,-2.94443897916644,5.25767857486918,"not.a.lemur"
"9",7,6.5,4.5,1.2,70000,5.78,2.7,4193,0.06,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Oreamnos americanus",0.845098040014257,-2.58668934409794,4.84509804001426,"not.a.lemur"
"10",14.3,8.7,3.6,1.95,196000,8.48,6.2,11188,0.06,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Ovibus moschatus",1.15533603746506,-1.79059328833787,5.29225607135648,"not.a.lemur"
"11",9.5,7.2,5.3,1.5,48400,5.62,4.3,4130,0.09,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Ovis dalli",0.977723605288848,-2.25405805209939,4.68484536164441,"not.a.lemur"
"12",13.4,6.3,5.2,1.8,534000,11.03,9.2,46292,0.09,3,"herbivore","no","terrestrial","other","Artiodactyla","Bovidae","Syncerus caffer",1.12710479836481,-1.86604510861152,5.72754125702856,"not.a.lemur"
"13",9.9,6.3,4.4,1.44,393500,8.64,6,28325,0.07,3,"herbivore","yes","terrestrial","other","Artiodactyla","Bovidae","Taurotragus oryx",0.99563519459755,-2.20838540747375,5.59494473669508,"not.a.lemur"
"14",4.3,4.3,NA,NA,585000,13.18,10.5,35000,0.06,3,"herbivore","yes","terrestrial","other","Artiodactyla","Camelidae","Camelus bactrianus",0.633468455579587,-3.10260327575939,5.76715586608218,"not.a.lemur"
"15",10,8.4,3,1.52,269000,7.95,3.8,16794,0.06,2,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Alces alces",1,-2.19722457733622,5.42975228000241,"not.a.lemur"
"16",6.7,5.7,4.2,1.11,110000,8.38,5.5,6500,0.06,2,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Cervus canadensis nelsoni1",0.826074802700826,-2.63371258145638,5.04139268515823,"not.a.lemur"
"17",8.5,7.1,4.5,1.37,98733,8,12,15500,0.16,2,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Cervus elaphus",0.929418925714293,-2.3762728087852,4.99446233324265,"not.a.lemur"
"18",12.6,7.8,5.8,1.83,120333,8.03,5.4,9432,0.08,2,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Cervus elaphus hispanicus",1.10037054511756,-1.93679846870406,5.08038474415252,"not.a.lemur"
"19",5.5,7,4.5,1.09,43063,6.85,2.5,4783,0.11,3,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Odocoileus hemionus",0.740362689494244,-2.84385174226127,4.63410428182889,"not.a.lemur"
"20",7.7,8.2,4.6,1.36,50570,6.84,4.3,5394,0.11,3,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Odocoileus virginianus",0.886490725172482,-2.48382381264917,4.70389295363254,"not.a.lemur"
"21",10.9,9.5,3.4,1.68,86033,7.24,2.8,6928,0.08,3,"herbivore","no","terrestrial","other","Artiodactyla","Cervidae","Rangifer tar&us",1.03742649794062,-2.10099654524167,4.93466506716119,"not.a.lemur"
"22",4.8,4,NA,NA,880000,14.89,8.3,66943,0.08,3,"herbivore","yes","terrestrial","other","Artiodactyla","Giraffidae","Giraffa camelopardalis",0.681241237375587,-2.98736402388347,5.94448267215017,"not.a.lemur"
"23",4.2,5.1,6.2,0.93,21675,4.66,1.7,1196,0.06,3,"omnivore","no","terrestrial","other","Artiodactyla","Tayassuidae","Pecari tajacu2",0.6232492903979,-3.12717815968749,4.33595910614825,"not.a.lemur"
"24",3.4,7.8,NA,NA,5035,2.05,1.7,832,0.17,1,"omnivore","no","terrestrial","other","Carnivora","Canidae","Nyctereutes procyonoides",0.531478917042255,-3.34680330959636,3.70199947488964,"not.a.lemur"
"25",13.5,11.1,3,2,3000,1.75,1.7,577,0.19,1,"carnivore","no","terrestrial","other","Carnivora","Canidae","Vulpes lagopus3",1.13033376849501,-1.85745472849345,3.47712125471966,"not.a.lemur"
"26",5.8,6.7,4.6,1.1,4244,1.73,1.8,439,0.1,1,"omnivore","no","terrestrial","other","Carnivora","Canidae","Vulpes vulpes",0.763427993562937,-2.78756226402994,3.6277753752293,"not.a.lemur"
"27",8.7,11.8,3.2,1.61,139500,3.62,7.2,3995,0.03,1,"carnivore","yes","terrestrial","other","Carnivora","Felidae","Panthera leo",0.939519252618618,-2.35082776194039,5.14457420760962,"not.a.lemur"
"28",13.8,9.9,3,1.96,2110,1.63,2.1,143,0.07,0,"omnivore","no","terrestrial","other","Carnivora","Mephitidae4","Mephitis mephitis",1.13987908640124,-1.83200158550649,3.32428245529769,"not.a.lemur"
"29",9.7,6.9,3.8,1.44,720,1.05,1.6,71,0.1,0,"carnivore","no","terrestrial","other","Carnivora","Mustelidae","Mustela putorius",0.986771734266245,-2.2310115749136,2.85733249643127,"not.a.lemur"
"30",7.3,5.6,4.5,1.17,770,1.05,1.6,41,0.05,0,"carnivore","no","aquatic","other","Carnivora","Mustelidae","Neovison vison5",0.863322860120456,-2.54149412441746,2.88649072517248,"not.a.lemur"
"31",44.4,9.7,NA,NA,60000,7.75,13.5,4250,0.07,2,"carnivore","no","aquatic","other","Carnivora","Otariidae","Arctocephalus australis",1.64738297011462,-0.224943731818358,4.77815125038364,"not.a.lemur"
"32",24.4,5.9,0.05,2.57,50000,9,3.9,5933,0.12,2,"carnivore","no","aquatic","other","Carnivora","Otariidae","Arctocephalus gazella",1.38738982633873,-1.13087315088633,4.69897000433602,"not.a.lemur"
"33",52.1,12.1,NA,NA,41400,11.75,7.9,4420,0.11,2,"carnivore","no","aquatic","other","Carnivora","Otariidae","Arctocephalus tropicalis",1.71683772329952,0.0840494443424519,4.6170003411209,"not.a.lemur"
"34",47.7,10.7,NA,NA,76400,9.17,11.5,5956,0.08,2,"carnivore","no","aquatic","other","Carnivora","Otariidae","Arctocephalus pusillus doriferus",1.67851837904011,-0.0920649731765814,4.88309335857569,"not.a.lemur"
"35",50.7,10.3,0.1,5.23,34500,8.37,3.2,5183,0.15,3,"carnivore","no","aquatic","other","Carnivora","Otariidae","Callorhinus ursinus",1.70500795933334,0.0280018295484931,4.53781909507327,"not.a.lemur"
"36",25.4,10.5,NA,NA,80000,11.75,18.8,7075,0.09,2,"carnivore","no","aquatic","other","Carnivora","Otariidae","Neophoca cinerea",1.40483371661994,-1.07739133318522,4.90308998699194,"not.a.lemur"
"37",31.7,8.6,0.3,3.4,75000,11.14,10.8,6817,0.09,3,"carnivore","no","aquatic","other","Carnivora","Otariidae","Zalophus californianus",1.50105926221775,-0.767593085693509,4.8750612633917,"not.a.lemur"
"38",61.1,4.9,1,5.89,350000,8.01,0.3,15389,0.04,3,"carnivore","no","aquatic","other","Carnivora","Phocidae","Cystophora cristata",1.78604121024255,0.451517615553149,5.54406804435028,"not.a.lemur"
"39",59.8,9.2,NA,NA,155000,7.87,0.6,12820,0.08,3,"carnivore","no","aquatic","other","Carnivora","Phocidae","Halichoerus grypus",1.77670118398841,0.397138665331611,5.19033169817029,"not.a.lemur"
"40",53.6,8.9,0.02,5.41,369500,9.6,1.3,28394,0.08,2,"carnivore","no","aquatic","other","Carnivora","Phocidae","Leptonychotes weddellii",1.72916478969277,0.144249608844547,5.56761444273084,"not.a.lemur"
"41",51.9,10.2,0.025,NA,363000,8.45,0.9,35250,0.1,2,"carnivore","no","aquatic","other","Carnivora","Phocidae","Mirounga angustirostris",1.71516735784846,0.0760366130601276,5.55990662503611,"not.a.lemur"
"42",46.9,7.4,0.02,4.71,556500,7.63,0.8,39919,0.07,2,"carnivore","no","aquatic","other","Carnivora","Phocidae","Mirounga leonina",1.67117284271508,-0.12415925279566,5.74546516867073,"not.a.lemur"
"43",53.5,7.7,0.8,5.36,129000,7.63,0.4,8477,0.07,2,"carnivore","no","aquatic","other","Carnivora","Phocidae","Pagophilus groenlandica6",1.72835378202123,0.14022934130865,5.11058971029925,"not.a.lemur"
"44",49.9,9,NA,NA,87833,8.35,1.1,11084,0.13,3,"carnivore","no","aquatic","other","Carnivora","Phocidae","Phoca vitulina",1.69810054562339,-0.00400000533334613,4.94365771664937,"not.a.lemur"
"45",17.1,9.2,2.2,2.18,1e+05,6.93,13.8,1168,0.01,0,"omnivore","no","terrestrial","other","Carnivora","Ursidae","Ursus arctos",1.23299611039215,-1.57855659863263,5,"not.a.lemur"
"46",25.1,7,3,2.82,88500,6.75,6.4,748,0.01,0,"omnivore","no","terrestrial","other","Carnivora","Ursidae","Ursus americanus",1.39967372148104,-1.09328604438544,4.94694327069783,"not.a.lemur"
"47",22.2,14.6,NA,NA,4705000,10.15,5,404000,0.09,3,"carnivore","no","aquatic","other","Cetacea","Balaenopteridae","Balaenoptera acutorostrata",1.34635297445064,-1.25404914230611,6.67255962776328,"not.a.lemur"
"48",40.9,11.9,1.3,4.47,1.7e+08,10.71,7.1,2272500,0.01,3,"carnivore","no","aquatic","other","Cetacea","Balaenopteridae","Balaenoptera musculus",1.61172330800734,-0.368100861363296,8.23044892137827,"not.a.lemur"
"49",33.2,10.5,2.3,3.73,66800000,10.93,6.5,1868500,0.03,3,"carnivore","no","aquatic","other","Cetacea","Balaenopteridae","Balaenoptera physalus",1.52113808370404,-0.699153204620157,7.82477646247555,"not.a.lemur"
"50",33,12.5,NA,NA,32400000,11.43,9.1,1338250,0.04,3,"carnivore","no","aquatic","other","Cetacea","Balaenopteridae","Megaptera novaeangliae",1.51851393987789,-0.708185057924486,7.51054501020661,"not.a.lemur"
"51",22.5,8.4,1.2,2.59,57400,11.4,18,1000,0.02,3,"carnivore","no","aquatic","other","Cetacea","Delphinidae","Stenalla attenuata",1.35218251811136,-1.23676262714893,4.75891189239797,"not.a.lemur"
"52",29.4,12.2,2.5,3.49,141000,12.12,18.9,18920,0.13,3,"carnivore","no","aquatic","other","Cetacea","Delphinidae","Tursiops truncates",1.46834733041216,-0.87603547015456,5.14921911265538,"not.a.lemur"
"53",25.8,7.7,3.4,2.94,12.07,2.68,1.3,3,0.25,0,"carnivore","no","terrestrial","other","Chiroptera","Molossidae","Tadarida brasiliensis",1.41161970596323,-1.05638965824576,1.08170727009735,"not.a.lemur"
"54",9,3.6,6.1,1.27,42,4,2,5.9,0.14,2,"herbivore","no","terrestrial","other","Chiroptera","Phyllostomatidae","Artibeus jamaicensis",0.954242509439325,-2.31363492918063,1.6232492903979,"not.a.lemur"
"55",13.1,9.1,4,1.88,82,4,8,16,0.2,2,"omnivore","no","terrestrial","other","Chiroptera","Phyllostomatidae","Phyllostomus hastatus",1.11727129565576,-1.89214580206424,1.91381385238372,"not.a.lemur"
"56",6.1,2.6,6.4,0.96,173,5,2.9,45,0.26,2,"herbivore","no","terrestrial","other","Chiroptera","Pteropodidae","Pteropus pumilus",0.785329835010767,-2.73394161503495,2.2380461031288,"not.a.lemur"
"57",6.7,3.4,6.4,1.06,350,5,2.5,45,0.13,2,"herbivore","no","terrestrial","other","Chiroptera","Pteropodidae","Pteropus rodricensis",0.826074802700826,-2.63371258145638,2.54406804435028,"not.a.lemur"
"58",8.5,2.7,5.7,1.16,522,6.5,1.5,74,0.14,2,"herbivore","no","terrestrial","other","Chiroptera","Pteropodidae","Pteropus hypomelanus",0.929418925714293,-2.3762728087852,2.71767050300226,"not.a.lemur"
"59",7.2,3.1,5.7,1.06,850,5.53,2.5,133,0.16,2,"herbivore","no","terrestrial","other","Chiroptera","Pteropodidae","Pteropus vampyrus",0.857332496431269,-2.55636561377014,2.92941892571429,"not.a.lemur"
"60",2,2.5,6.2,0.57,800,6,5.5,69,0.09,2,"herbivore","no","terrestrial","other","Chiroptera","Pteropodidae","Pteropus poliocephalus",0.301029995663981,-3.89182029811063,2.90308998699194,"not.a.lemur"
"61",15.8,8.5,4,2.1,8,1.83,0.8,3,0.38,1,"carnivore","no","terrestrial","other","Chiroptera","Vespertilionidae","Myotis lucifugus",1.19865708695442,-1.67318498121536,0.903089986991944,"not.a.lemur"
"62",19.9,10.7,4.4,2.61,8,2.17,1.5,3,0.38,1,"carnivore","no","terrestrial","other","Chiroptera","Vespertilionidae","Myotis velifer",1.29885307640971,-1.39255612234387,0.903089986991944,"not.a.lemur"
"63",10.9,7.3,5.6,1.64,915,0.73,4.5,1,0.001,0,"carnivore","no","terrestrial","Australia","Dasyuromorphia","Dasyuridae","Dasyurus viverrinus",1.03742649794062,-2.10099654524167,2.96142109406645,"not.a.lemur"
"64",11,9.5,5.9,1.79,1906,0.42,3.3,1,5e-04,0,"omnivore","no","terrestrial","Australia","Didelphimorphia","Didelphidae","Didelphis virginiana",1.04139268515823,-2.09074109693377,3.28012289630231,"not.a.lemur"
"65",4,6,12.5,1.21,5500,0.94,10.5,0.4,7e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus eugenii",0.602059991327962,-3.17805383034795,3.74036268949424,"not.a.lemur"
"66",6.1,7.2,NA,NA,26025,1.1,10.3,0.8,3e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus rufus",0.785329835010767,-2.73394161503495,4.41539073818257,"not.a.lemur"
"67",7.2,6.8,10.9,1.48,12425,0.98,14.5,0.6,5e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus rufogriseus",0.857332496431269,-2.55636561377014,4.09429639740537,"not.a.lemur"
"68",10.4,10.3,2.5,1.65,2900,0.9,8,0.4,1e-04,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Setonix brachyurus",1.01703333929878,-2.15354951383356,3.46239799789896,"not.a.lemur"
"69",7.1,8,8.1,1.44,4000,1,9,0.4,1e-04,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Macropodidae","Thylogale billardierii",0.851258348719075,-2.57142886177252,3.60205999132796,"not.a.lemur"
"70",4.4,7,11,1.25,2150,0.58,6.5,2,9e-04,0,"omnivore","yes","terrestrial","Australia","Diprotodontia","Phalangeridae","Trichosurus vulpecula",0.643452676486187,-3.07856827913314,3.33243845991561,"not.a.lemur"
"71",16,8,4.5,2.1,5683,1.03,11.4,0.4,7e-05,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Phascolarctidae","Phascolarctos cinereus",1.20411998265592,-1.65822807660353,3.75457765604473,"not.a.lemur"
"72",4,11,11,1.44,1725,0.7,3.8,0.3,2e-04,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Potoroidae7","Bettongia gaimardi",0.602059991327962,-3.17805383034795,3.23678909940929,"not.a.lemur"
"73",3,10,14,1.41,1047,1.27,1.4,0.3,3e-04,0,"omnivore","yes","terrestrial","Australia","Diprotodontia","Potoroidae7","Potorous tridactylus",0.477121254719662,-3.47609868983527,3.01994668167884,"not.a.lemur"
"74",3,4.5,12.5,1.03,910,3.5,7.3,0.6,7e-04,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Pseudocheiridae8","Pseudocheirus peregrinus",0.477121254719662,-3.47609868983527,2.95904139232109,"not.a.lemur"
